Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Groundnut,1997,Rabi       ,Arunachal Pradesh,905.0,802,2274.9,86128.85,280.55,0.874615385
Rice,2014,Kharif     ,Tripura,257273.0,746954,2015.7,38837932.08,84900.09,2.885
Linseed,2008,Rabi       ,Maharashtra,38200.0,7900,1052.8,5464128.0,3438.0,0.263333333
Sugarcane,2006,Whole Year ,Haryana,140563.0,9651000,329.3,17951300.73,30923.86,56.0355
Masoor,2019,Rabi       ,Chhattisgarh,14347.0,4672,1420.3,2464240.72,5308.39,0.314347826
Coconut ,2014,Whole Year ,West Bengal,29680.0,372300000,1483.5,4480492.8,9794.4,12561.52684
Gram,2016,Rabi       ,Madhya Pradesh,3223000.0,4546000,1048.4,493924750.0,1128050.0,1.435098039
Urad,2018,Rabi       ,Assam,59866.0,39815,2372.9,9710265.2,20953.1,0.668518519
Barley,1998,Rabi       ,Madhya Pradesh,92700.0,105700,962.7,9158760.0,26883.0,1.371714286
Ragi,2008,Autumn     ,West Bengal,11732.0,13874,1560.1,1678145.28,1055.88,0.8275
Jowar,2016,Rabi       ,Andhra Pradesh,83139.0,177852,890.0,12741051.75,29098.65,2.297
Urad,2017,Kharif     ,Jammu and Kashmir,10256.0,3468,1279.1,1614704.64,3897.28,0.371818182
Cashewnut,1997,Whole Year ,Kerala,96073.0,74142,3252.4,9143267.41,29782.63,0.589285714
Sannhamp,2006,Kharif     ,Jammu and Kashmir,335.0,168,1786.5,42782.85,73.7,0.5
Ginger,2014,Kharif     ,Nagaland,3620.0,33020,1333.3,546475.2,1194.6,9.122727273
Groundnut,2008,Rabi       ,Tripura,195.0,228,1827.8,27892.8,17.55,1.1825
Potato,2015,Whole Year ,Haryana,34273.0,853806,426.8,5412049.43,11310.09,24.81095238
Sugarcane,2004,Whole Year ,Manipur,300.0,9800,1613.3,32502.0,63.0,32.67
Potato,2007,Kharif     ,Mizoram,330.0,1158,3095.2,44022.0,52.8,2.625
Ginger,2015,Whole Year ,Haryana,289.0,4304,426.8,45635.99,95.37,14.3375
Horse-gram,2016,Winter     ,Odisha,34046.0,14838,1460.5,5217549.5,11916.1,0.396071429
Rice,2018,Rabi       ,Andhra Pradesh,644417.0,2991289,1220.5,104524437.4,225545.95,3.699230769
Rice,1998,Winter     ,Assam,1635230.0,2288114,2354.4,161560724.0,474216.7,1.395652174
Other Cereals,2002,Rabi       ,Uttarakhand,471.0,474,1610.3,44589.57,117.75,1.0375
Tobacco,2016,Rabi       ,Uttar Pradesh,26250.0,117229,965.3,4022812.5,9187.5,4.363333333
Jute,2012,Kharif     ,Tripura,640.0,5261,1882.2,96512.0,198.4,8.14625
Rice,2015,Kharif     ,Nagaland,176790.0,427240,1308.3,27916908.9,58340.7,2.41
Rice,2003,Summer     ,Uttar Pradesh,7839.0,18016,1075.6,775904.22,1881.36,2.1595
Urad,2012,Kharif     ,Uttarakhand,11770.0,9211,1309.8,1774916.0,3648.7,0.751538462
Arecanut,2005,Whole Year ,Tamil Nadu,4773.0,9198,1364.1,572378.16,1002.33,1.212727273
Other  Rabi pulses,2010,Summer     ,Puducherry,2.0,2,1434.5875,332.22,0.48,1.0
Sesamum,2010,Whole Year ,Madhya Pradesh,360426.0,177690,856.3,59870362.86,86502.24,0.5646
Sesamum,1998,Whole Year ,West Bengal,100425.0,85448,2152.5,9921990.0,29123.25,0.741111111
Rapeseed &Mustard,2013,Rabi       ,Madhya Pradesh,702055.0,651507,1451.4,101439927.0,189554.85,0.81
Arhar/Tur,2015,Rabi       ,Jharkhand,26938.0,31910,1085.6,4253779.58,8889.54,1.520909091
Jowar,2013,Summer     ,Karnataka,4461.0,7260,1235.6,644569.89,1204.47,1.63
Sunflower,2003,Kharif     ,Bihar,17531.0,24157,1353.9,1735218.38,4207.44,1.352758621
Tapioca,2005,Whole Year ,Meghalaya,3989.0,20841,3374.4,478360.88,837.69,6.392857143
Potato,2009,Whole Year ,Andhra Pradesh,5040.0,57159,711.0,785332.8,856.8,10.294
Masoor,2012,Rabi       ,Jammu and Kashmir,141.0,79,1116.7,21262.8,43.71,0.5525
Sugarcane,2014,Whole Year ,Madhya Pradesh,102000.0,4090000,891.2,15397920.0,33660.0,32.1559375
Groundnut,2013,Summer     ,Karnataka,177896.0,158590,1235.6,25704193.04,48031.92,0.96375
Other Kharif pulses,2002,Kharif     ,Uttarakhand,10844.0,6391,1610.3,1026601.48,2711.0,0.570833333
Small millets,2000,Rabi       ,Andhra Pradesh,1961.0,1449,935.6,192511.37,509.86,0.681666667
Gram,2016,Rabi       ,Haryana,36900.0,43200,554.7,5654925.0,12915.0,1.24
Moong(Green Gram),2015,Kharif     ,Bihar,12217.0,8342,874.0,1929186.47,4031.61,0.675806452
Rice,2004,Kharif     ,Himachal Pradesh,79519.0,109129,939.2,8615088.46,16698.99,1.454545455
Banana,2014,Kharif     ,Meghalaya,7072.0,87186,3484.4,1067589.12,2333.76,10.16727273
Maize,2007,Summer     ,Bihar,181481.0,623215,1600.2,24209565.4,29036.96,3.207142857
Bajra,1998,Kharif     ,Haryana,613174.0,618800,687.6,60581591.2,177820.46,1.006842105
Rice,2018,Summer     ,Uttar Pradesh,29145.0,87266,792.8,4727319.0,10200.75,2.662631579
Banana,2009,Whole Year ,Tamil Nadu,113681.0,4887841,928.5,17713773.42,19325.77,43.52
Barley,2019,Rabi       ,Himachal Pradesh,20404.0,35413,1217.7,3504591.04,7549.48,1.748181818
Masoor,2014,Rabi       ,Meghalaya,1234.0,1318,3484.4,186284.64,407.22,1.41
Jowar,2004,Summer     ,Karnataka,15977.0,12690,1117.7,1730948.18,3355.17,0.799230769
Wheat,1998,Rabi       ,Tripura,1110.0,2100,2472.9,109668.0,321.9,1.9025
Maize,2010,Rabi       ,Uttarakhand,64.0,130,1419.0,10631.04,15.36,1.896666667
Peas & beans (Pulses),2014,Rabi       ,Uttar Pradesh,416056.0,314196,616.4,62807813.76,137298.48,0.801216216
Sugarcane,2006,Whole Year ,Meghalaya,87.0,239,2454.7,11110.77,19.14,2.348
Onion,1997,Kharif     ,Manipur,2.0,5,2053.3,190.34,0.62,2.5
Horse-gram,2014,Summer     ,Odisha,118.0,40,1536.9,17813.28,38.94,0.368
Cowpea(Lobia),2010,Rabi       ,Jammu and Kashmir,45.0,90,1352.0,7474.95,10.8,2.01
Dry chillies,2014,Kharif     ,Jammu and Kashmir,623.0,347,1278.4,94048.08,205.59,0.67125
Gram,1999,Rabi       ,Assam,2336.0,1196,2201.8,247919.68,630.72,0.470454545
Garlic,2011,Rabi       ,Jammu and Kashmir,693.0,591,887.6,116091.36,228.69,0.854444444
Garlic,2003,Whole Year ,Bihar,2797.0,3605,1353.9,276847.06,671.28,1.484375
Jute,1998,Kharif     ,Uttar Pradesh,66.0,51,743.4,6520.8,19.14,0.83
Onion,1998,Whole Year ,Haryana,4707.0,59700,687.6,465051.6,1365.03,13.94882353
Small millets,2006,Kharif     ,Assam,7473.0,3843,1774.9,954376.83,1644.06,0.500384615
Other  Rabi pulses,2019,Rabi       ,Tripura,872.0,804,2252.8,149774.72,322.64,0.925
Onion,2016,Rabi       ,Uttar Pradesh,10526.0,146606,965.3,1613109.5,3684.1,13.93273973
Jowar,2000,Rabi       ,Maharashtra,3183500.0,1589000,1057.8,312524195.0,827710.0,0.583214286
Small millets,2007,Kharif     ,Maharashtra,60800.0,34100,1257.2,8110720.0,9728.0,0.56862069
Rapeseed &Mustard,2016,Rabi       ,Tamil Nadu,199.0,46,912.4,30496.75,69.65,0.186
Sweet potato,2013,Kharif     ,Nagaland,1490.0,12680,1350.9,215290.1,402.3,8.509090909
Coconut ,2016,Whole Year ,Karnataka,437099.0,3417203000,1147.2,66985421.75,152984.65,7996.762143
Groundnut,2014,Whole Year ,Kerala,480.0,692,3046.4,72460.8,158.4,1.44
Barley,1998,Rabi       ,West Bengal,5938.0,5910,2152.5,586674.4,1722.02,1.10375
Maize,2010,Summer     ,Gujarat,33000.0,66000,1107.5,5481630.0,7920.0,2.00125
Sugarcane,2011,Whole Year ,Delhi,3.0,226,641.3954545,502.56,0.99,75.33
Other Kharif pulses,2014,Kharif     ,Maharashtra,76500.0,28700,1001.6,11548440.0,25245.0,0.327
Moth,2011,Kharif     ,Gujarat,45700.0,22700,890.5,7655664.0,15081.0,0.648461538
Rice,2007,Autumn     ,Bihar,524266.0,318517,1600.2,69937084.4,83882.56,0.617
Groundnut,2002,Kharif     ,Uttarakhand,1179.0,920,1610.3,111615.93,294.75,0.755
Rice,1999,Kharif     ,Jammu and Kashmir,250625.0,391529,667.1,26598831.25,67668.75,1.489166667
Rapeseed &Mustard,2018,Rabi       ,Assam,285736.0,183665,2372.9,46346379.2,100007.6,0.64
Coriander,2003,Whole Year ,Tamil Nadu,27722.0,8052,345.6,2743923.56,6653.28,0.300740741
Rapeseed &Mustard,2011,Rabi       ,Sikkim,5420.0,4340,2585.486364,907958.4,1788.6,0.7825
Jowar,2014,Kharif     ,Uttar Pradesh,164407.0,162865,616.4,24818880.72,54254.31,1.097454545
Sannhamp,2013,Kharif     ,Madhya Pradesh,3091.0,7033,1451.4,446618.59,834.57,2.371794872
Ragi,2007,Rabi       ,Andhra Pradesh,7000.0,8000,1004.2,933800.0,1120.0,1.1
Guar seed,2015,Whole Year ,Gujarat,313428.0,191530,584.3,49493415.48,103431.24,0.619583333
